Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
D2660,"Adjustable Height Workbench Leg - 36""",$79.95,$51.05,18.99,,Available,FALSE,Shop Fox,CN,769433426602,Parcel,$9.91,12.40%
T27359,Mini Sandblasting Cabinet,$298.00,$241.20,19.95,$268.00,Available,FALSE,Grizzly,CN,690550894565,Parcel,$36.85,12.37%
G0869WAR05,"10"" 2 HP Benchtop Table Saw - 5 Year Warranty",$720.00,$571.50,59.95,$635.00,Unavailable,FALSE,Grizzly,,,Parcel,$88.55,12.30%
T34346,"12"" Benchtop English Wheel",$199.00,$174.59,0,$179.00,Available,FALSE,Grizzly,CN,690550673948,Parcel,$24.41,12.27%
T34312,50A Plasma Cutter,$295.00,$259.00,0,$259.00,Available,FALSE,Grizzly,CN,690550213472,Parcel,$36.00,12.20%
G1026WAR03,3 HP Shaper - 3 Year Warranty,"$2,145.00","$1,624.50",259,"$1,805.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$261.50,12.19%
G0807WAR05,"18"" 2 HP Variable-Speed Vertical Metal-Cutting Bandsaw - 5 Year Warranty","$5,845.00","$4,734.00",399,"$5,260.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$712.00,12.18%
T33938,60A Plasma Cutter,$495.00,$435.00,0,$435.00,Available,FALSE,Grizzly,CN,690550386596,Parcel,$60.00,12.12%
T10726,"12"" 18-Gauge Mini Pan and Box Brake",$250.00,$199.80,19.95,$222.00,Available,FALSE,Grizzly,CN,690550167225,Parcel,$30.25,12.10%
G1066Z,"24"" 5 HP Variable-Speed Drum Sander","$3,695.00","$2,992.50",259,"$3,200.00",Available,FALSE,Grizzly,TW,690550710667,LTL Freight,$443.50,12.00%
D2260A,Mini Mobile Base,$109.95,$77.77,18.99,,Available,FALSE,Shop Fox,CN,769433422604,Parcel,$13.19,12.00%
G0937WAR03,"6"" x 10"" Combo Lathe/Mill - 3 Year Warranty","$1,530.00","$1,147.50",199,"$1,275.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$183.50,11.99%
D2845,"4-Pc. Mortising Chisels Set - 1/4"", 5/16"", 3/8"", 1/2""",$69.95,$44.64,16.99,,Unavailable,FALSE,Shop Fox,CN,769433428453,Parcel,$8.32,11.89%
T25091,"84"" x 26"" Heavy Duty Workbench","$1,975.00","$1,525.50",215,,Available,FALSE,Grizzly,CN,690550425875,LTL Freight,$234.50,11.87%
G0996,"Power Hammer - 22""","$3,350.00","$2,655.00",299,"$2,950.00",Available,FALSE,Grizzly,CN,690550210372,LTL Freight,$396.00,11.82%
